0,2.27297,-1165.59,664.387
1,5.07568,-1165.79,664.499
2,8.14054,-1168.85,666.245
3,11.173,-1165.41,664.286
4,14.0486,-1165.17,664.145
5,17.3297,-1168.55,666.073
6,20.2892,-1166.95,665.159
7,23.3081,-1165.46,664.31
8,26.1919,-1166.63,664.979
9,29.0162,-1167.15,665.277
10,32.1541,-1165.04,664.072
11,35.0919,-1169.23,666.461
12,38.1865,-1166.52,664.914
13,41.0297,-1167.28,665.35
14,44.2162,-1166.65,664.99
15,47.073,-1163.72,663.322
16,50.0297,-1166.03,664.636
17,53.0162,-1167.03,665.208
18,56.2162,-1162.01,662.344
19,59.1973,-1167.51,665.483
20,62.2378,-1166.27,664.772
21,65.1432,-1168.92,666.286
22,68.273,-1167.32,665.375
23,71.2135,-1166.32,664.802
24,74.1405,-1168.25,665.903
25,77.3027,-1166.6,664.96
26,80.0351,-1163.33,663.099
27,83.1649,-1165.61,664.4
28,86.2459,-1167.36,665.396
29,89.0378,-1162.43,662.585
30,92.0703,-1162.72,662.75
31,95.2946,-1167.23,665.323
32,98.0297,-1165.15,664.135
33,101.1,-1165.63,664.408
34,104.322,-1164.01,663.487
35,107.314,-1164.9,663.994
36,110.33,-1163.08,662.953
37,113.278,-1168.38,665.977
38,116.119,-1164.22,663.607
39,119.292,-1167.42,665.431
40,122.292,-1165.11,664.112
41,125.284,-1165.38,664.266
42,128.278,-1165.93,664.581
43,131.308,-1160.94,661.737
44,134.035,-1164.12,663.546
45,137.17,-1164.31,663.655
46,140.314,-1166.15,664.703
47,143.181,-1166.15,664.705
48,146.081,-1165.81,664.514
49,149.151,-1166.35,664.822
50,152.103,-1166.42,664.858
51,155.149,-1167.54,665.5
52,158.216,-1165.26,664.197
53,161.076,-1165.24,664.188
54,164.308,-1165.39,664.273
55,167.119,-1164.87,663.975
56,170.051,-1164.69,663.872
57,173.257,-1166.64,664.984
58,176.257,-1165.94,664.588
59,179.251,-1167.38,665.409
60,182.157,-1166.65,664.99
61,185.03,-1164.7,663.88
62,188.292,-1164.84,663.961
63,191.303,-1164.66,663.855
64,194.03,-1165,664.051
65,197.157,-1163.55,663.221
66,200.005,-1165.45,664.306
67,203.324,-1166.85,665.103
68,206.141,-1162.93,662.867
69,209.297,-1168.22,665.886
70,212.103,-1166.48,664.895
71,214.992,-1166.45,664.875
72,218.251,-1166.03,664.637
73,220.946,-1163.94,663.448
74,224.119,-1167.89,665.697
75,227.1,-1164.76,663.915
76,230.281,-1166.45,664.879
77,233.314,-1167.1,665.245
78,236.165,-1165.03,664.068
79,239.041,-1165.99,664.615
80,242.022,-1163.75,663.337
81,245.235,-1168,665.763
82,247.989,-1166.47,664.887
83,251.281,-1161.88,662.271
84,253.981,-1165.3,664.219
85,257.33,-1168.15,665.843
86,260.068,-1165.09,664.104
87,263.184,-1165.86,664.542
88,266.065,-1165.53,664.351
89,269.281,-1167.36,665.397
90,272.165,-1165.92,664.574
91,275.324,-1165.53,664.354
92,278.322,-1168.7,666.157
93,281.286,-1162.13,662.414
94,284.227,-1166.42,664.857
95,287.03,-1165.43,664.296
96,290.305,-1168.03,665.78
97,293.095,-1164.96,664.026
98,296.324,-1168.22,665.888
99,299.13,-1164.22,663.603
100,302.195,-1164.69,663.876
101,305.059,-1164.15,663.565
102,308.295,-1164.99,664.043
103,311.257,-1166.98,665.177
104,314.232,-1163.49,663.191
105,317.07,-1162.96,662.888
106,320.343,-1166.89,665.128
107,323.059,-1164.77,663.92
108,326.057,-1164.67,663.861
109,329.319,-1161.61,662.118
110,332.181,-1163.75,663.338
111,335.319,-1166.44,664.873
112,338.084,-1164.53,663.78
113,341.319,-1164.3,663.651
114,344.232,-1166.58,664.953
115,347.327,-1168.56,666.078
116,350.305,-1167.2,665.306
117,353.086,-1166.44,664.872
118,356.095,-1164.7,663.876
119,359.046,-1165.53,664.355
120,362.149,-1166.17,664.718
121,365.197,-1169.95,666.87
122,368.216,-1165.43,664.297
123,371.019,-1163.23,663.043
124,373.968,-1163.75,663.337
125,377.068,-1164.49,663.757
126,380.205,-1164.67,663.861
127,383.327,-1162.63,662.701
128,386.276,-1165.13,664.122
129,389.035,-1165.77,664.487
130,392.308,-1165.37,664.259
131,395.024,-1165.56,664.368
132,398.046,-1165.08,664.095
