01,9994,9.19616
01,9994,9.22515
01,9994,9.21522
01,9994,9.19392
01,9994,9.22016
01,9994,9.2256
01,9994,9.30068
01,9994,9.45146
01,9994,9.47582
01,9994,9.54097
05,9990,9.46822
05,9990,9.53478
05,9990,9.29328
05,9990,9.19553
05,9990,9.50231
05,9990,9.50678
05,9990,9.32948
05,9990,9.46473
05,9990,9.50331
05,9990,9.46242
100,10000,8.55966
100,10000,8.77053
100,10000,8.69849
100,10000,8.62609
100,10000,8.56109
100,10000,8.57162
100,10000,8.61909
100,10000,8.73531
100,10000,8.72137
100,10000,8.70693
10,9985,9.45525
10,9985,9.46837
10,9985,9.49809
10,9985,9.48565
10,9985,9.5589
10,9985,9.50227
10,9985,9.48462
10,9985,9.50305
10,9985,9.49074
10,9985,9.47979
120,9998,8.53639
120,9998,8.56208
120,9998,8.58752
120,9998,8.46919
120,9998,8.62811
120,9998,8.54013
120,9998,8.42155
120,9998,8.62802
120,9998,8.67529
120,9998,8.44708
150,9982,8.3441
150,9982,8.2518
150,9982,8.2532
150,9982,8.35221
150,9982,8.32588
150,9982,8.48656
150,9982,8.34156
150,9982,8.33881
150,9982,8.45623
150,9982,8.44457
180,9975,8.21774
180,9975,8.37559
180,9975,8.43686
180,9975,8.23352
180,9975,8.18069
180,9975,8.17154
180,9975,8.07602
180,9975,8.25303
180,9975,8.31721
180,9975,8.23101
200,9932,8.17097
200,9932,8.26399
200,9932,8.20731
200,9932,8.11141
200,9932,8.14081
200,9932,8.21712
200,9932,8.20647
200,9932,8.12216
200,9932,8.141
200,9932,8.13058
20,10008,9.32418
20,10008,9.38787
20,10008,9.36128
20,10008,9.43541
20,10008,9.40088
20,10008,9.36634
20,10008,9.3846
20,10008,9.32435
20,10008,9.37024
20,10008,9.44157
30,10002,9.27577
30,10002,9.31946
30,10002,9.36023
30,10002,9.2712
30,10002,9.34483
30,10002,9.34382
30,10002,9.34462
30,10002,9.29996
30,10002,8.77213
30,10002,8.80568
40,10006,8.91107
40,10006,8.96049
40,10006,8.97734
40,10006,8.92729
40,10006,8.71841
40,10006,8.69597
40,10006,8.71923
40,10006,8.7109
40,10006,8.72611
40,10006,8.73038
50,10004,8.6728
50,10004,8.64416
50,10004,8.66794
50,10004,8.62017
50,10004,8.5848
50,10004,8.47574
50,10004,8.60737
50,10004,8.74101
50,10004,8.62091
50,10004,8.98433
80,10002,8.59715
80,10002,8.56778
80,10002,8.60791
80,10002,8.57416
80,10002,8.60706
80,10002,8.58131
80,10002,8.48841
80,10002,8.74518
80,10002,8.6033
80,10002,8.54069
