0,2.27297,-1956.41,1115.15
1,5.07568,-1956.6,1115.26
2,8.14054,-1959.67,1117.01
3,11.173,-1956.23,1115.05
4,14.0486,-1955.98,1114.91
5,17.3297,-1959.36,1116.84
6,20.2892,-1957.76,1115.92
7,23.3081,-1956.27,1115.07
8,26.1919,-1957.44,1115.74
9,29.0162,-1957.97,1116.04
10,32.1541,-1955.85,1114.84
11,35.0919,-1960.05,1117.23
12,38.1865,-1957.33,1115.68
13,41.0297,-1958.1,1116.11
14,44.2162,-1957.46,1115.75
15,47.073,-1954.54,1114.09
16,50.0297,-1956.84,1115.4
17,53.0162,-1957.85,1115.97
18,56.2162,-1952.82,1113.11
19,59.1973,-1958.33,1116.25
20,62.2378,-1957.08,1115.54
21,65.1432,-1959.74,1117.05
22,68.273,-1958.14,1116.14
23,71.2135,-1957.13,1115.57
24,74.1405,-1959.06,1116.67
25,77.3027,-1957.41,1115.72
26,80.0351,-1954.15,1113.86
27,83.1649,-1956.43,1115.16
28,86.2459,-1958.18,1116.16
29,89.0378,-1953.24,1113.35
30,92.0703,-1953.53,1113.51
31,95.2946,-1958.05,1116.09
32,98.0297,-1955.96,1114.9
33,101.1,-1956.44,1115.17
34,104.322,-1954.83,1114.25
35,107.314,-1955.72,1114.76
36,110.33,-1953.89,1113.72
37,113.278,-1959.19,1116.74
38,116.119,-1955.04,1114.37
39,119.292,-1958.24,1116.2
40,122.292,-1955.92,1114.88
41,125.284,-1956.19,1115.03
42,128.278,-1956.75,1115.35
43,131.308,-1951.76,1112.5
44,134.035,-1954.93,1114.31
45,137.17,-1955.12,1114.42
46,140.314,-1956.96,1115.47
47,143.181,-1956.96,1115.47
48,146.081,-1956.63,1115.28
49,149.151,-1957.17,1115.59
50,152.103,-1957.23,1115.62
51,155.149,-1958.36,1116.26
52,158.216,-1956.07,1114.96
53,161.076,-1956.06,1114.95
54,164.308,-1956.21,1115.04
55,167.119,-1955.68,1114.74
56,170.051,-1955.5,1114.64
57,173.257,-1957.45,1115.75
58,176.257,-1956.76,1115.35
59,179.251,-1958.2,1116.17
60,182.157,-1957.46,1115.75
61,185.03,-1955.52,1114.64
62,188.292,-1955.66,1114.73
63,191.303,-1955.47,1114.62
64,194.03,-1955.82,1114.82
65,197.157,-1954.36,1113.99
66,200.005,-1956.26,1115.07
67,203.324,-1957.66,1115.87
68,206.141,-1953.74,1113.63
69,209.297,-1959.04,1116.65
70,212.103,-1957.3,1115.66
71,214.992,-1957.26,1115.64
72,218.251,-1956.84,1115.4
73,220.946,-1954.76,1114.21
74,224.119,-1958.71,1116.46
75,227.1,-1955.58,1114.68
76,230.281,-1957.27,1115.64
77,233.314,-1957.91,1116.01
78,236.165,-1955.85,1114.83
79,239.041,-1956.81,1115.38
80,242.022,-1954.56,1114.1
81,245.235,-1958.82,1116.53
82,247.989,-1957.28,1115.65
83,251.281,-1952.69,1113.04
84,253.981,-1956.11,1114.98
85,257.33,-1958.96,1116.61
86,260.068,-1955.91,1114.87
87,263.184,-1956.68,1115.31
88,266.065,-1956.34,1115.12
89,269.281,-1958.18,1116.16
90,272.165,-1956.73,1115.34
91,275.324,-1956.35,1115.12
92,278.322,-1959.51,1116.92
93,281.286,-1952.95,1113.18
94,284.227,-1957.23,1115.62
95,287.03,-1956.25,1115.06
96,290.305,-1958.85,1116.54
97,293.095,-1955.77,1114.79
98,296.324,-1959.04,1116.65
99,299.13,-1955.03,1114.37
100,302.195,-1955.51,1114.64
101,305.059,-1954.96,1114.33
102,308.295,-1955.8,1114.81
103,311.257,-1957.79,1115.94
104,314.232,-1954.31,1113.96
105,317.07,-1953.78,1113.65
106,320.343,-1957.71,1115.89
107,323.059,-1955.59,1114.68
108,326.057,-1955.48,1114.63
109,329.319,-1952.43,1112.88
110,332.181,-1954.56,1114.1
111,335.319,-1957.26,1115.64
112,338.084,-1955.34,1114.54
113,341.319,-1955.12,1114.42
114,344.232,-1957.4,1115.72
115,347.327,-1959.37,1116.84
116,350.305,-1958.02,1116.07
117,353.086,-1957.26,1115.64
118,356.095,-1955.51,1114.64
119,359.046,-1956.35,1115.12
120,362.149,-1956.99,1115.48
121,365.197,-1960.76,1117.63
122,368.216,-1956.25,1115.06
123,371.019,-1954.05,1113.81
124,373.968,-1954.56,1114.1
125,377.068,-1955.3,1114.52
126,380.205,-1955.48,1114.62
127,383.327,-1953.45,1113.46
128,386.276,-1955.94,1114.89
129,389.035,-1956.58,1115.25
130,392.308,-1956.18,1115.02
131,395.024,-1956.37,1115.13
132,398.046,-1955.89,1114.86
133,401.2,-1955.34,1114.55
134,404.016,-1955.37,1114.56
135,407.146,-1952.73,1113.06
136,410.273,-1955.87,1114.85
137,413.343,-1957.87,1115.98
138,416.238,-1953.64,1113.58
139,419.186,-1956.98,1115.48
140,422.176,-1957.83,1115.97
141,425.195,-1955.57,1114.67
142,428.054,-1958.15,1116.14
143,431.124,-1958.77,1116.5
144,434.195,-1953.1,1113.27
145,437.192,-1955.68,1114.74
146,440.105,-1958.25,1116.2
147,443.316,-1956.67,1115.3
148,446.254,-1954.46,1114.04
149,449.292,-1955.73,1114.77
150,452.303,-1955.66,1114.73
151,455.276,-1954.25,1113.92
152,457.973,-1957.67,1115.87
153,461.046,-1954.94,1114.32
154,464.3,-1956.22,1115.04
155,467.046,-1954.59,1114.11
156,470.032,-1956.03,1114.94
157,473.008,-1957.28,1115.65
158,476.095,-1953.51,1113.5
159,479.054,-1958.31,1116.24
160,482.227,-1955.96,1114.9
161,485.081,-1955.8,1114.81
162,487.986,-1952.36,1112.84
163,491.154,-1952.44,1112.89
164,494.2,-1957.71,1115.9
165,497.135,-1955.9,1114.86
166,500.281,-1956.6,1115.26
167,503.143,-1952.11,1112.7
168,506.332,-1957.17,1115.59
169,509.151,-1956.03,1114.94
170,512.141,-1955.25,1114.49
171,515.278,-1957.84,1115.97
172,517.989,-1957.07,1115.53
173,521.27,-1958.11,1116.12
174,524.062,-1956.81,1115.38
175,527.23,-1956.06,1114.96
176,530.181,-1954.37,1113.99
177,533.016,-1951.87,1112.57
178,536.322,-1955.84,1114.83
179,539.189,-1956.16,1115.01
180,542.178,-1958.54,1116.37
181,545.127,-1955.45,1114.6
182,548.159,-1956.39,1115.14
183,551.286,-1955.03,1114.37
184,554.086,-1958.61,1116.41
185,557.292,-1957.48,1115.77
186,560.343,-1954.67,1114.16
187,563.081,-1957.46,1115.75
188,566.192,-1958.25,1116.2
189,568.951,-1954.27,1113.94
190,572.097,-1956.26,1115.07
191,575.316,-1954.21,1113.9
192,578.027,-1957.48,1115.76
193,580.995,-1954.02,1113.79
194,584.178,-1958.76,1116.49
195,587.092,-1952.39,1112.86
196,590.07,-1957.66,1115.87
197,593.292,-1959.21,1116.75
198,596.138,-1956.37,1115.13
199,599.251,-1956.33,1115.11
200,601.968,-1955.88,1114.85
201,605.019,-1954.51,1114.07
202,608.035,-1957.45,1115.75
203,611.046,-1954.58,1114.11
204,614.057,-1957.57,1115.81
205,617.027,-1956.58,1115.25
