0,2.51,-1218.12
1,5.5,-1217.88
2,8.62333,-1218.68
3,11.6167,-1218.12
4,14.4967,-1217.56
5,17.4833,-1219.92
6,20.53,-1219.83
7,23.55,-1222.04
8,26.5867,-1217.13
9,29.6233,-1219.77
10,32.63,-1217
11,35.5167,-1220.03
12,38.62,-1220.15
13,41.6433,-1221.15
14,44.64,-1217.22
15,47.6,-1219.81
16,50.6433,-1219.37
17,53.6433,-1218.22
18,56.6567,-1218.23
19,59.4367,-1220.24
20,62.5933,-1218.57
21,65.6067,-1217.23
22,68.4933,-1218.57
23,71.6233,-1219.46
24,74.62,-1219.33
25,77.62,-1219.49
26,80.61,-1219.9
27,83.3533,-1217.64
28,86.6567,-1220.53
29,89.3633,-1216.83
30,92.4733,-1217.75
31,95.57,-1217.43
32,98.32,-1218.08
33,101.57,-1222.03
34,104.617,-1217.18
35,107.587,-1220.29
36,110.623,-1217.59
37,113.307,-1217.99
38,116.477,-1217.93
39,119.633,-1219.52
40,122.39,-1220.37
41,125.623,-1218.38
42,128.383,-1219.06
43,131.57,-1216.12
44,134.643,-1217.48
45,137.563,-1215.49
46,140.62,-1220.38
47,143.637,-1218.02
48,146.627,-1220.7
49,149.62,-1216.98
50,152.437,-1219.15
51,155.637,-1219.58
52,158.557,-1220.32
53,161.647,-1218.76
54,164.53,-1217.44
55,167.64,-1221.29
56,170.653,-1220.47
57,173.607,-1217.64
58,176.617,-1217.17
59,179.553,-1219.43
60,182.603,-1217.58
61,185.64,-1221.13
62,188.29,-1217.52
63,191.633,-1219.84
64,194.64,-1220.51
65,197.613,-1219.84
66,200.603,-1215.86
67,203.627,-1217.93
68,206.593,-1220.02
69,209.643,-1221.75
70,212.49,-1220.35
71,215.637,-1219.35
72,218.587,-1219.46
73,221.53,-1222.83
74,224.38,-1217.29
75,227.65,-1219.56
76,230.633,-1219.24
77,233.53,-1221.03
78,236.623,-1216.99
79,239.637,-1219.49
80,242.313,-1220.18
81,245.577,-1219.18
82,248.613,-1217.75
83,251.637,-1217.9
84,254.627,-1219.33
85,257.607,-1218.18
